score_id,round_id,hole_number,par,strokes,fairway_hit,green_in_regulation,putts
113,7,5,4,4,0,1,2
114,7,6,4,4,1,1,2
115,7,7,4,4,1,1,2
116,7,8,5,5,1,0,2
117,7,9,4,4,1,1,1
118,7,10,4,4,1,1,3
119,7,11,4,4,0,1,2
120,7,12,4,3,1,1,1
121,7,13,4,5,0,0,2
122,7,14,5,6,0,0,1
123,7,15,4,3,0,1,1
124,7,16,3,2,,1,1
125,7,17,4,5,0,0,3
126,7,18,3,3,,1,2
127,8,1,5,5,0,0,2
128,8,2,4,4,1,1,2
129,8,3,3,3,,1,2
130,8,4,5,5,0,0,2
131,8,5,4,5,0,0,2
132,8,6,4,5,0,0,3
133,8,7,4,5,0,0,2
134,8,8,5,6,1,0,1
135,8,9,4,5,0,0,2
136,8,10,4,3,1,1,1
137,8,11,4,4,1,1,1
138,8,12,4,5,1,0,2
139,8,13,4,5,0,0,2
140,8,14,5,5,0,0,1
141,8,15,4,4,0,1,1
142,8,16,3,5,,0,3
143,8,17,4,4,1,1,1
144,8,18,3,3,,1,2
145,9,1,5,4,1,1,1
146,9,2,4,5,1,0,2
147,9,3,3,3,,1,2
148,9,4,5,4,0,1,1
149,9,5,4,4,1,1,2
150,9,6,4,4,0,1,1
151,9,7,4,4,1,1,2
152,9,8,5,5,1,0,1
153,9,9,4,3,1,1,1
154,9,10,4,3,0,1,1
155,9,11,4,5,1,0,2
156,9,12,4,3,0,1,1
157,9,13,4,3,1,1,1
158,9,14,5,4,1,1,1
159,9,15,4,3,1,1,1
160,9,16,3,3,,1,2
161,9,17,4,4,1,1,1
162,9,18,3,3,,1,2
163,10,1,5,6,1,0,2
164,10,2,4,5,1,0,2
165,10,3,3,3,,1,2
166,10,4,5,5,1,0,1
167,10,5,4,4,1,1,1
168,10,6,4,5,0,0,2
169,10,7,4,3,0,1,1
170,10,8,5,5,1,0,2
171,10,9,4,4,1,1,2
172,10,10,4,4,1,1,2
173,10,11,4,3,1,1,1
174,10,12,4,3,0,1,1
175,10,13,4,4,1,1,3
176,10,14,5,6,0,0,2
177,10,15,4,4,1,1,3
178,10,16,3,2,,1,1
179,10,17,4,3,1,1,1
180,10,18,3,3,,1,2
181,11,1,5,6,1,0,2
182,11,2,4,3,1,1,1
183,11,3,3,3,,1,2
184,11,4,5,5,1,0,2
185,11,5,4,4,1,1,3
186,11,6,4,4,1,1,3
187,11,7,4,5,1,0,2
188,11,8,5,4,1,1,1
189,11,9,4,4,0,1,2
190,11,10,4,3,0,1,1
191,11,11,4,4,1,1,2
192,11,12,4,4,0,1,3
193,11,13,4,4,1,1,1
194,11,14,5,6,0,0,2
195,11,15,4,4,1,1,2
196,11,16,3,2,,1,1
197,11,17,4,3,1,1,1
198,11,18,3,2,,1,1
199,12,1,5,5,1,0,2
200,12,2,4,5,1,0,1
201,12,3,3,3,,1,1
202,12,4,5,5,1,0,3
203,12,5,4,4,0,1,2
204,12,6,4,3,0,1,1
205,12,7,4,3,0,1,1
206,12,8,5,4,1,1,1
207,12,9,4,4,1,1,1
208,12,10,4,3,1,1,1
209,12,11,4,3,0,1,1
210,12,12,4,4,0,1,3
211,12,13,4,3,0,1,1
212,12,14,5,4,1,1,1
213,12,15,4,3,1,1,1
214,12,16,3,2,,1,1
215,12,17,4,3,0,1,1
216,12,18,3,3,,1,3
217,13,1,5,4,1,1,1
218,13,2,4,5,0,0,2
219,13,3,3,3,,1,2
220,13,4,5,5,1,0,2
221,13,5,4,3,1,1,1
222,13,6,4,4,1,1,2
223,13,7,4,4,1,1,2
224,13,8,5,5,1,0,2
225,13,9,4,3,0,1,1
226,13,10,4,3,1,1,1
227,13,11,4,4,1,1,1
228,13,12,4,5,1,0,1
229,13,13,4,4,1,1,1
230,13,14,5,5,1,0,1
231,13,15,4,4,1,1,2
232,13,16,3,4,,0,1
233,13,17,4,4,1,1,3
234,13,18,3,4,,0,1
235,14,1,5,4,1,1,1
236,14,2,4,5,1,0,3
237,14,3,3,3,,1,1
238,14,4,5,6,0,0,1
239,14,5,4,4,0,1,2
240,14,6,4,4,1,1,3
241,14,7,4,4,1,1,2
242,14,8,5,5,1,0,1
243,14,9,4,4,1,1,2
244,14,10,4,4,0,1,2
245,14,11,4,4,0,1,3
246,14,12,4,4,0,1,2
247,14,13,4,4,0,1,2
248,14,14,5,5,1,0,2
249,14,15,4,4,1,1,2
250,14,16,3,4,,0,2
251,14,17,4,6,1,0,2
252,14,18,3,3,,1,2
253,15,1,5,4,1,1,1
254,15,2,4,4,1,1,2
255,15,3,3,4,,0,1
256,15,4,5,5,0,0,1
257,15,5,4,4,0,1,1
258,15,6,4,6,0,0,2
259,15,7,4,3,0,1,1
260,15,8,5,4,1,1,1
261,15,9,4,5,1,0,1
262,15,10,4,4,0,1,1
263,15,11,4,5,1,0,2
264,15,12,4,3,0,1,1
265,15,13,4,4,1,1,2
266,15,14,5,5,1,0,2
267,15,15,4,4,0,1,3
268,15,16,3,3,,1,1
269,15,17,4,4,0,1,2
270,15,18,3,2,,1,1
271,16,1,5,5,1,0,1
272,16,2,4,3,0,1,1
273,16,3,3,2,,1,1
274,16,4,5,5,0,0,3
275,16,5,4,3,1,1,1
276,16,6,4,4,1,1,3
277,16,7,4,4,0,1,2
278,16,8,5,4,1,1,1
279,16,9,4,4,0,1,2
280,16,10,4,3,1,1,1
281,16,11,4,4,1,1,3
282,16,12,4,3,1,1,1
283,16,13,4,3,1,1,1
284,16,14,5,4,1,1,1
285,16,15,4,4,1,1,1
286,16,16,3,3,,1,2
287,16,17,4,4,1,1,3
288,16,18,3,2,,1,1
289,17,1,5,4,1,1,1
290,17,2,4,3,0,1,1
291,17,3,3,4,,0,2
292,17,4,5,5,1,0,2
293,17,5,4,4,1,1,2
294,17,6,4,5,0,0,2
295,17,7,4,5,1,0,2
296,17,8,5,5,1,0,2
297,17,9,4,5,1,0,2
298,17,10,4,4,1,1,2
299,17,11,4,5,1,0,2
300,17,12,4,4,0,1,3
301,17,13,4,3,1,1,1
302,17,14,5,5,1,0,2
303,17,15,4,4,0,1,3
304,17,16,3,3,,1,3
305,17,17,4,4,0,1,3
306,17,18,3,2,,1,1
307,18,1,5,5,0,0,2
308,18,2,4,3,1,1,1
309,18,3,3,4,,0,2
310,18,4,5,5,1,0,2
311,18,5,4,3,0,1,1
312,18,6,4,5,0,0,1
313,18,7,4,4,1,1,2
314,18,8,5,4,1,1,1
315,18,9,4,4,1,1,2
316,18,10,4,6,0,0,2
317,18,11,4,5,0,0,2
318,18,12,4,4,1,1,2
319,18,13,4,4,1,1,1
320,18,14,5,6,0,0,2
321,18,15,4,4,0,1,3
322,18,16,3,3,,1,2
323,18,17,4,4,1,1,2
324,18,18,3,3,,1,2
325,19,1,5,5,0,0,3
326,19,2,4,4,1,1,2
327,19,3,3,4,,0,2
328,19,4,5,6,0,0,2
329,19,5,4,4,1,1,3
330,19,6,4,4,1,1,1
331,19,7,4,3,1,1,1
332,19,8,5,4,0,1,1
333,19,9,4,3,1,1,1
334,19,10,4,3,0,1,1
335,19,11,4,4,1,1,2
336,19,12,4,3,1,1,1
337,19,13,4,4,0,1,3
338,19,14,5,5,1,0,2
339,19,15,4,4,1,1,2
340,19,16,3,2,,1,1
341,19,17,4,5,0,0,2
342,19,18,3,3,,1,1
343,20,1,5,5,0,0,2
344,20,2,4,5,0,0,1
345,20,3,3,2,,1,1
346,20,4,5,4,0,1,1
347,20,5,4,5,1,0,1
348,20,6,4,4,0,1,2
349,20,7,4,6,1,0,1
350,20,8,5,5,1,0,2
351,20,9,4,4,1,1,3
352,20,10,4,3,1,1,1
353,20,11,4,4,1,1,2
354,20,12,4,5,1,0,1
355,20,13,4,4,0,1,2
356,20,14,5,5,1,0,3
357,20,15,4,4,1,1,2
358,20,16,3,3,,1,2
359,20,17,4,3,1,1,1
360,20,18,3,2,,1,1
361,21,1,5,5,0,0,2
362,21,2,4,4,1,1,2
363,21,3,3,3,,1,2
364,21,4,5,4,1,1,1
365,21,5,4,4,1,1,2
366,21,6,4,4,0,1,2
367,21,7,4,4,1,1,1
368,21,8,5,5,1,0,2
369,21,9,4,5,1,0,2
370,21,10,4,4,0,1,3
371,21,11,4,3,1,1,1
372,21,12,4,4,1,1,1
373,21,13,4,3,1,1,1
374,21,14,5,6,1,0,2
375,21,15,4,5,0,0,1
376,21,16,3,3,,1,2
377,21,17,4,5,1,0,1
378,21,18,3,4,,0,1
379,22,1,5,4,0,1,1
380,22,2,4,5,1,0,2
381,22,3,3,3,,1,2
382,22,4,5,5,1,0,1
383,22,5,4,5,0,0,2
384,22,6,4,4,1,1,1
385,22,7,4,5,1,0,2
386,22,8,5,5,0,0,2
387,22,9,4,3,0,1,1
388,22,10,4,4,1,1,1
389,22,11,4,5,0,0,2
390,22,12,4,5,1,0,1
391,22,13,4,4,0,1,2
392,22,14,5,6,1,0,2
393,22,15,4,4,1,1,2
394,22,16,3,2,,1,1
395,22,17,4,5,1,0,3
396,22,18,3,2,,1,1
397,23,1,5,6,1,0,2
398,23,2,4,4,0,1,3
399,23,3,3,4,,0,2
400,23,4,5,5,0,0,1
401,23,5,4,4,0,1,3
402,23,6,4,6,0,0,3
403,23,7,4,4,1,1,1
404,23,8,5,5,0,0,2
405,23,9,4,3,0,1,1
406,23,10,4,5,1,0,2
407,23,11,4,5,1,0,1
408,23,12,4,4,1,1,2
409,23,13,4,3,0,1,1
410,23,14,5,6,0,0,2
411,23,15,4,4,1,1,2
412,23,16,3,3,,1,2
413,23,17,4,4,0,1,1
414,23,18,3,3,,1,2
415,24,1,5,5,0,0,2
416,24,2,4,4,1,1,1
417,24,3,3,3,,1,2
418,24,4,5,5,0,0,2
419,24,5,4,4,0,1,2
420,24,6,4,5,1,0,1
421,24,7,4,4,0,1,2
422,24,8,5,5,1,0,3
423,24,9,4,4,0,1,2
424,24,10,4,4,1,1,3
425,24,11,4,3,1,1,1
426,24,12,4,5,1,0,2
427,24,13,4,5,1,0,2
428,24,14,5,5,1,0,3
429,24,15,4,3,1,1,1
430,24,16,3,3,,1,1
431,24,17,4,4,1,1,2
432,24,18,3,3,,1,2
433,25,1,5,6,0,0,3
434,25,2,4,4,0,1,3
435,25,3,3,3,,1,2
436,25,4,5,5,1,0,2
437,25,5,4,5,1,0,3
438,25,6,4,4,0,1,3
439,25,7,4,5,1,0,2
440,25,8,5,5,1,0,3
441,25,9,4,5,0,0,1
442,25,10,4,5,1,0,2
443,25,11,4,4,1,1,1
444,25,12,4,4,0,1,1
445,25,13,4,5,0,0,2
446,25,14,5,5,0,0,1
447,25,15,4,4,1,1,2
448,25,16,3,3,,1,2
449,25,17,4,3,0,1,1
450,25,18,3,3,,1,1
451,26,1,5,7,0,0,1
452,26,2,4,5,0,0,2
453,26,3,3,3,,1,2
454,26,4,5,6,1,0,1
455,26,5,4,4,1,1,3
456,26,6,4,5,1,0,1
457,26,7,4,4,1,1,2
458,26,8,5,5,1,0,2
459,26,9,4,4,0,1,2
460,26,10,4,5,0,0,2
461,26,11,4,6,0,0,2
462,26,12,4,3,1,1,1
463,26,13,4,5,0,0,3
464,26,14,5,4,1,1,1
465,26,15,4,5,1,0,2
466,26,16,3,3,,1,2
467,26,17,4,4,1,1,3
468,26,18,3,3,,1,1
469,27,1,5,4,0,1,1
470,27,2,4,5,1,0,3
471,27,3,3,4,,0,1
472,27,4,5,5,0,0,1
473,27,5,4,4,1,1,2
474,27,6,4,4,1,1,2
475,27,7,4,5,1,0,3
476,27,8,5,5,1,0,3
477,27,9,4,4,0,1,2
478,27,10,4,4,0,1,2
479,27,11,4,3,1,1,1
480,27,12,4,4,0,1,2
481,27,13,4,3,1,1,1
482,27,14,5,4,0,1,1
483,27,15,4,3,0,1,1
484,27,16,3,3,,1,3
485,27,17,4,5,0,0,3
486,27,18,3,3,,1,2
487,28,1,5,5,1,0,1
488,28,2,4,4,1,1,2
489,28,3,3,3,,1,2
490,28,4,5,5,1,0,2
491,28,5,4,4,0,1,2
492,28,6,4,3,1,1,1
493,28,7,4,4,1,1,2
494,28,8,5,4,0,1,1
495,28,9,4,3,1,1,1
496,28,10,4,4,1,1,2
497,28,11,4,4,1,1,2
498,28,12,4,4,1,1,3
499,28,13,4,4,1,1,2
500,28,14,5,5,1,0,3
501,28,15,4,3,0,1,1
502,28,16,3,3,,1,3
503,28,17,4,5,0,0,2
504,28,18,3,2,,1,1
505,29,1,5,7,0,0,1
506,29,2,4,5,0,0,3
507,29,3,3,2,,1,1
508,29,4,5,6,0,0,1
509,29,5,4,4,0,1,3
510,29,6,4,5,1,0,3
511,29,7,4,4,1,1,3
512,29,8,5,5,1,0,1
513,29,9,4,4,1,1,2
514,29,10,4,5,0,0,2
515,29,11,4,4,1,1,1
516,29,12,4,3,1,1,1
517,29,13,4,4,1,1,1
518,29,14,5,6,0,0,2
519,29,15,4,4,1,1,2
520,29,16,3,2,,1,1
521,29,17,4,3,1,1,1
522,29,18,3,3,,1,3
523,30,1,5,5,1,0,2
524,30,2,4,4,1,1,3
525,30,3,3,4,,0,3
526,30,4,5,5,1,0,2
527,30,5,4,4,1,1,1
528,30,6,4,4,1,1,3
529,30,7,4,3,1,1,1
530,30,8,5,4,0,1,1
531,30,9,4,3,1,1,1
532,30,10,4,4,1,1,3
533,30,11,4,4,0,1,2
534,30,12,4,5,1,0,1
535,30,13,4,4,1,1,2
536,30,14,5,4,0,1,1
537,30,15,4,4,0,1,2
538,30,16,3,3,,1,2
539,30,17,4,4,0,1,3
540,30,18,3,3,,1,1
541,31,1,5,5,1,0,3
542,31,2,4,4,1,1,3
543,31,3,3,3,,1,1
544,31,4,5,5,0,0,1
545,31,5,4,3,0,1,1
546,31,6,4,3,1,1,1
547,31,7,4,5,1,0,3
548,31,8,5,6,1,0,2
549,31,9,4,5,1,0,2
550,31,10,4,4,1,1,1
551,31,11,4,5,1,0,3
552,31,12,4,5,1,0,2
553,31,13,4,4,1,1,2
554,31,14,5,6,1,0,2
555,31,15,4,5,1,0,2
556,31,16,3,3,,1,3
557,31,17,4,3,1,1,1
558,31,18,3,3,,1,2
559,32,1,5,5,0,0,1
560,32,2,4,3,1,1,1
561,32,3,3,4,,0,2
562,32,4,5,5,0,0,2
563,32,5,4,4,1,1,2
564,32,6,4,5,1,0,1
565,32,7,4,4,0,1,2
566,32,8,5,6,1,0,2
567,32,9,4,4,1,1,3
568,32,10,4,5,1,0,2
569,32,11,4,5,1,0,2
570,32,12,4,4,1,1,3
571,32,13,4,5,1,0,2
572,32,14,5,5,1,0,1
573,32,15,4,4,1,1,1
574,32,16,3,4,,0,2
575,32,17,4,5,1,0,1
576,32,18,3,4,,0,2
577,33,1,5,5,0,0,2
578,33,2,4,4,1,1,1
579,33,3,3,3,,1,2
580,33,4,5,5,0,0,2
581,33,5,4,3,1,1,1
582,33,6,4,4,1,1,2
583,33,7,4,4,1,1,2
584,33,8,5,5,1,0,3
585,33,9,4,4,0,1,3
586,33,10,4,3,0,1,1
587,33,11,4,4,0,1,2
588,33,12,4,4,0,1,3
589,33,13,4,5,1,0,1
590,33,14,5,6,0,0,3
591,33,15,4,4,1,1,1
592,33,16,3,4,,0,2
593,33,17,4,5,0,0,2
594,33,18,3,2,,1,1
595,34,1,5,5,1,0,1
596,34,2,4,4,0,1,2
597,34,3,3,3,,1,2
598,34,4,5,5,1,0,3
599,34,5,4,5,1,0,2
600,34,6,4,3,0,1,1
601,34,7,4,3,1,1,1
602,34,8,5,6,1,0,2
603,34,9,4,4,1,1,1
604,34,10,4,5,1,0,3
605,34,11,4,3,0,1,1
606,34,12,4,4,0,1,1
607,34,13,4,3,0,1,1
608,34,14,5,5,0,0,3
609,34,15,4,4,1,1,1
610,34,16,3,3,,1,2
611,34,17,4,4,0,1,2
612,34,18,3,3,,1,1
613,35,1,5,5,1,0,2
614,35,2,4,4,1,1,2
615,35,3,3,2,,1,1
616,35,4,5,6,1,0,3
617,35,5,4,4,1,1,2
618,35,6,4,3,1,1,1
619,35,7,4,4,1,1,2
620,35,8,5,5,1,0,1
621,35,9,4,3,0,1,1
622,35,10,4,4,1,1,1
623,35,11,4,3,1,1,1
624,35,12,4,4,0,1,2
625,35,13,4,5,0,0,2
626,35,14,5,6,1,0,2
627,35,15,4,3,1,1,1
628,35,16,3,2,,1,1
629,35,17,4,4,0,1,2
630,35,18,3,2,,1,1
631,36,1,5,5,1,0,3
632,36,2,4,3,0,1,1
633,36,3,3,3,,1,3
634,36,4,5,5,1,0,2
635,36,5,4,3,1,1,1
636,36,6,4,3,1,1,1
637,36,7,4,6,1,0,2
638,36,8,5,6,1,0,1
639,36,9,4,5,1,0,2
640,36,10,4,3,1,1,1
641,36,11,4,5,1,0,1
642,36,12,4,4,1,1,2
643,36,13,4,4,1,1,2
644,36,14,5,4,1,1,1
645,36,15,4,3,0,1,1
646,36,16,3,3,,1,2
647,36,17,4,4,0,1,1
648,36,18,3,3,,1,3
649,37,1,5,5,1,0,3
650,37,2,4,5,1,0,1
651,37,3,3,3,,1,2
652,37,4,5,5,1,0,2
653,37,5,4,3,0,1,1
654,37,6,4,4,1,1,3
655,37,7,4,5,0,0,2
656,37,8,5,5,0,0,2
657,37,9,4,4,0,1,2
658,37,10,4,3,1,1,1
659,37,11,4,4,1,1,3
660,37,12,4,3,0,1,1
661,37,13,4,4,0,1,1
662,37,14,5,4,0,1,1
663,37,15,4,4,0,1,2
664,37,16,3,4,,0,2
665,37,17,4,4,1,1,2
666,37,18,3,3,,1,1
667,38,1,5,6,1,0,2
668,38,2,4,4,0,1,2
669,38,3,3,3,,1,3
670,38,4,5,6,1,0,1
671,38,5,4,5,0,0,2
672,38,6,4,5,1,0,2
673,38,7,4,5,0,0,2
674,38,8,5,4,0,1,1
675,38,9,4,4,1,1,2
676,38,10,4,4,0,1,2
677,38,11,4,4,1,1,3
678,38,12,4,4,1,1,2
679,38,13,4,5,0,0,2
680,38,14,5,5,0,0,3
681,38,15,4,4,1,1,2
682,38,16,3,3,,1,2
683,38,17,4,3,0,1,1
684,38,18,3,3,,1,3
685,39,1,5,5,1,0,2
686,39,2,4,4,1,1,2
687,39,3,3,2,,1,1
688,39,4,5,4,0,1,1
689,39,5,4,3,1,1,1
690,39,6,4,3,1,1,1
691,39,7,4,4,0,1,1
692,39,8,5,6,1,0,2
693,39,9,4,4,1,1,1
694,39,10,4,4,0,1,1
695,39,11,4,3,0,1,1
696,39,12,4,6,0,0,2
697,39,13,4,4,1,1,2
698,39,14,5,6,1,0,2
699,39,15,4,5,1,0,2
700,39,16,3,2,,1,1
701,39,17,4,3,1,1,1
702,39,18,3,3,,1,1
703,40,1,5,5,0,0,2
704,40,2,4,4,0,1,3
705,40,3,3,3,,1,2
706,40,4,5,6,1,0,1
707,40,5,4,5,1,0,1
708,40,6,4,5,1,0,2
709,40,7,4,5,0,0,2
710,40,8,5,6,0,0,2
711,40,9,4,4,1,1,1
712,40,10,4,4,0,1,2
713,40,11,4,4,0,1,2
714,40,12,4,3,0,1,1
715,40,13,4,5,0,0,3
716,40,14,5,6,1,0,2
717,40,15,4,4,0,1,2
718,40,16,3,3,,1,1
719,40,17,4,4,1,1,2
720,40,18,3,2,,1,1
721,41,1,5,5,1,0,2
722,41,2,4,4,1,1,2
723,41,3,3,2,,1,1
724,41,4,5,5,0,0,3
725,41,5,4,4,0,1,2
726,41,6,4,4,1,1,2
727,41,7,4,5,1,0,1
728,41,8,5,5,0,0,1
729,41,9,4,4,0,1,3
730,41,10,4,4,1,1,2
731,41,11,4,3,1,1,1
732,41,12,4,5,1,0,2
733,41,13,4,3,0,1,1
734,41,14,5,6,1,0,3
735,41,15,4,4,0,1,3
736,41,16,3,3,,1,2
737,41,17,4,4,0,1,2
738,41,18,3,3,,1,1
739,42,1,5,4,0,1,1
740,42,2,4,3,1,1,1
741,42,3,3,2,,1,1
742,42,4,5,5,0,0,3
743,42,5,4,3,1,1,1
744,42,6,4,4,0,1,2
745,42,7,4,4,1,1,1
746,42,8,5,5,1,0,1
747,42,9,4,3,0,1,1
748,42,10,4,5,1,0,1
749,42,11,4,4,1,1,1
750,42,12,4,4,1,1,2
751,42,13,4,4,1,1,2
752,42,14,5,5,1,0,2
753,42,15,4,3,1,1,1
754,42,16,3,3,,1,2
755,42,17,4,3,1,1,1
756,42,18,3,3,,1,2
757,43,1,5,5,0,0,2
758,43,2,4,3,0,1,1
759,43,3,3,4,,0,2
760,43,4,5,5,0,0,2
761,43,5,4,4,0,1,2
762,43,6,4,4,1,1,2
763,43,7,4,3,1,1,1
764,43,8,5,6,1,0,2
765,43,9,4,4,1,1,2
766,43,10,4,3,0,1,1
767,43,11,4,3,1,1,1
768,43,12,4,3,1,1,1
769,43,13,4,3,1,1,1
770,43,14,5,4,1,1,1
771,43,15,4,3,0,1,1
772,43,16,3,2,,1,1
773,43,17,4,4,1,1,2
774,43,18,3,4,,0,1
775,44,1,5,5,1,0,3
776,44,2,4,4,1,1,1
777,44,3,3,3,,1,2
778,44,4,5,5,0,0,2
779,44,5,4,5,1,0,2
780,44,6,4,4,1,1,3
781,44,7,4,4,0,1,1
782,44,8,5,6,0,0,2
783,44,9,4,3,1,1,1
784,44,10,4,3,0,1,1
785,44,11,4,5,0,0,2
786,44,12,4,4,1,1,2
787,44,13,4,6,1,0,2
788,44,14,5,6,1,0,2
789,44,15,4,4,0,1,2
790,44,16,3,3,,1,1
791,44,17,4,4,0,1,3
792,44,18,3,2,,1,1
793,45,1,5,5,1,0,2
794,45,2,4,4,0,1,1
795,45,3,3,3,,1,1
796,45,4,5,5,0,0,2
797,45,5,4,3,1,1,1
798,45,6,4,4,0,1,3
799,45,7,4,3,0,1,1
800,45,8,5,4,0,1,1
801,45,9,4,3,0,1,1
802,45,10,4,3,1,1,1
803,45,11,4,4,0,1,1
804,45,12,4,3,0,1,1
805,45,13,4,4,1,1,3
806,45,14,5,6,0,0,2
807,45,15,4,3,1,1,1
808,45,16,3,2,,1,1
809,45,17,4,5,1,0,2
810,45,18,3,3,,1,2
811,46,1,5,5,1,0,1
812,46,2,4,4,1,1,1
813,46,3,3,3,,1,1
814,46,4,5,5,1,0,2
815,46,5,4,4,1,1,2
816,46,6,4,3,0,1,1
817,46,7,4,5,0,0,2
818,46,8,5,5,1,0,3
819,46,9,4,4,0,1,3
820,46,10,4,4,1,1,2
821,46,11,4,4,1,1,2
822,46,12,4,4,0,1,2
823,46,13,4,4,1,1,1
824,46,14,5,4,1,1,1
825,46,15,4,5,1,0,1
826,46,16,3,3,,1,3
827,46,17,4,4,0,1,1
828,46,18,3,2,,1,1
829,47,1,5,6,0,0,2
830,47,2,4,4,1,1,2
831,47,3,3,3,,1,3
832,47,4,5,4,0,1,1
833,47,5,4,5,0,0,2
834,47,6,4,4,0,1,1
835,47,7,4,3,1,1,1
836,47,8,5,5,1,0,1
837,47,9,4,4,1,1,2
838,47,10,4,4,1,1,2
839,47,11,4,6,1,0,3
840,47,12,4,3,0,1,1
841,47,13,4,4,1,1,2
842,47,14,5,4,1,1,1
843,47,15,4,4,0,1,1
844,47,16,3,2,,1,1
845,47,17,4,3,0,1,1
846,47,18,3,3,,1,2
847,48,1,5,5,0,0,1
848,48,2,4,4,1,1,2
849,48,3,3,3,,1,1
850,48,4,5,4,1,1,1
851,48,5,4,3,1,1,1
852,48,6,4,3,1,1,1
853,48,7,4,4,1,1,2
854,48,8,5,5,1,0,1
855,48,9,4,3,0,1,1
856,48,10,4,5,1,0,1
857,48,11,4,4,1,1,2
858,48,12,4,6,0,0,3
859,48,13,4,3,0,1,1
860,48,14,5,5,1,0,2
861,48,15,4,4,0,1,2
862,48,16,3,2,,1,1
863,48,17,4,6,1,0,1
864,48,18,3,3,,1,2
865,49,1,5,5,0,0,2
866,49,2,4,5,1,0,2
867,49,3,3,3,,1,2
868,49,4,5,5,1,0,3
869,49,5,4,5,1,0,2
870,49,6,4,3,1,1,1
871,49,7,4,4,0,1,2
872,49,8,5,5,1,0,2
873,49,9,4,4,0,1,2
874,49,10,4,4,1,1,2
875,49,11,4,4,1,1,2
876,49,12,4,4,1,1,2
877,49,13,4,4,0,1,2
878,49,14,5,6,1,0,3
879,49,15,4,3,1,1,1
